None	Fyrir hvað stendur DV	Dagblaðið Vísir	Fyrir hvað stendur D V
None	Hann heyrir stomsins hörpuslátt, hann heyrir barnsins andardrátt er dæmi um...	Andstæður	 Hann heyrir stomsins hörpuslátt hann heyrir barnsins andardrátt er dæmi um 
None	Hjá hvaða alþjóðlega stórfyrirtæki sat Ólafur Jóhann Ólafsson í stjórn	Sony	Hjá hvaða alþjóðlega stórfyrirtæki sat Ólafur Jóhann Ólafsson í stjórn
None	Hvaða ár dó George Harrison	2003	Hvaða ár dó George Harrison
None	Hvaða ár féll Berlínarmúrinn	1989	Hvaða ár féll Berlínarmúrinn
None	Hvaða ár fór fyrsti maðurinn, Yuri Gagarin, út í geiminn	1961	Hvaða ár fór fyrsti maðurinn Yuri Gagarin út í geiminn
None	Hvaða ár lést Díana prinsessa af Wales	1997	Hvaða ár lést Díana prinsessa af Wales
None	Hvaða ár var Woodstock-hátíðin haldin	1969	Hvaða ár var Woodstock hátíðin haldin
None	Hvaða ár voru Ólympíuleikar nútímans haldnir í fyrsta sinn	1896	Hvaða ár voru Ólympíuleikar nútímans haldnir í fyrsta sinn
None	Hvaða ár voru samtök homma og lesbía stofnuð á Íslandi	1978	Hvaða ár voru samtök homma og lesbía stofnuð á Íslandi
None	Hvaða borg varð höfuðborg Danmerkur árið 1536	Kaupmannahöfn	Hvaða borg varð höfuðborg Danmerkur árið fimmtán hundruð þrjátíu og sex
None	Hvaða dagur er á eftir fimmtudegi	Föstudagur	Hvaða dagur er á eftir fimmtudegi
None	Hvaða dagur er á eftir miðvikudegi	Fimmtudagur	Hvaða dagur er á eftir miðvikudegi
None	Hvaða dagur er á undan föstudegi	Fimmtudagur	Hvaða dagur er á undan föstudegi
None	Hvaða dagur er á undan laugardegi	Föstudagur	Hvaða dagur er á undan laugardegi
None	Hvaða dagur er á undan mánudegi	Sunnudagur	Hvaða dagur er á undan mánudegi
None	Hvaða eldfjall gaus árið 79 eftir krist og gróf borgina Pompei í ösku	Vesúvíus	Hvaða eldfjall gaus árið sjötíu og níu eftir krist og gróf borgina Pompei í ösku
None	Hvaða félag gefur út Morgunblaðið	Árvakur	Hvaða félag gefur út Morgunblaðið
None	Hvaða fyrirtæki á Íslandi kallar sig SS	Sláturfélag Suðurlands	Hvaða fyrirtæki á Íslandi kallar sig S S
None	Hvaða geðveiki rómverski keisari tók við af Tiberius	Caligula	Hvaða geðveiki rómverski keisari tók við af Tiberius
None	Hvaða gjaldmiðill var notaður á undan Evrunni í Þýskalandi	Mark	Hvaða gjaldmiðill var notaður á undan Evrunni í Þýskalandi
None	Hvaða heimsálfa hefur engin virk eldfjöll	Eyjaálfa	Hvaða heimsálfa hefur engin virk eldfjöll
None	Hvaða hét Marilyn Monroe réttu nafni	Norma Jean Baker	Hvaða hét Marilyn Monroe réttu nafni
None	Hvaða hnútur er notaður til að festa fána við flagglínu	Flagghnútur	Hvaða hnútur er notaður til að festa fána við flagglínu
None	Hvaða íslenski jökull ber stysta nafnið	Ok	Hvaða íslenski jökull ber stysta nafnið
None	Hvaða íþrótt eru menn að ræða þegar þeir tala um "1 högg undir pari"	Golf	Hvaða íþrótt eru menn að ræða þegar þeir tala um eitt högg undir pari 
None	Hvaða jökull rís úr Hallmundarhrauni	Eiríksjökull	Hvaða jökull rís úr Hallmundarhrauni
None	Hvaða kvenpersóna er álíka stór og Tumi þumall	Þumalína	Hvaða kvenpersóna er álíka stór og Tumi þumall
None	Hvaða land hét áður Mesópótamía	Írak	Hvaða land hét áður Mesópótamía
None	Hvaða landi tilheyrði Alaska á undan Bandaríkjunum	Rússlandi	Hvaða landi tilheyrði Alaska á undan Bandaríkjunum
None	Hvaða landi tilheyrir Borgundarhólmur	Danmörku	Hvaða landi tilheyrir Borgundarhólmur
None	Hvaða lið gengur alltaf síðast inn á opnunarhátíð ólympíuleikanna	Gestgjafinn	Hvaða lið gengur alltaf síðast inn á opnunarhátíð ólympíuleikanna
None	Hvaða listamaður skar af sér eyrað og fyrirfór sér 35 ára gamall	Vincent Van Gogh	Hvaða listamaður skar af sér eyrað og fyrirfór sér þrjátíu og fimm ára gamall
None	Hvaða mánuður er á eftir desember	Janúar	Hvaða mánuður er á eftir desember
None	Hvaða mánuður er á eftir febrúar	Mars	Hvaða mánuður er á eftir febrúar
None	Hvaða mánuður er á eftir maí	Júní	Hvaða mánuður er á eftir maí
None	Hvaða mánuður er á eftir mars	Apríl	Hvaða mánuður er á eftir mars
None	Hvaða mánuður er á undan ágúst	Júlí	Hvaða mánuður er á undan ágúst
None	Hvaða mánuður er á undan júní	Maí	Hvaða mánuður er á undan júní
None	Hvaða mánuður er á undan mars	Febrúar	Hvaða mánuður er á undan mars
None	Hvaða mánuður er á undan október	September	Hvaða mánuður er á undan október
None	Hvaða merki bær er á milli Hlíðarendakots og Hallskots	Hlíðarendi	Hvaða merki bær er á milli Hlíðarendakots og Hallskots
None	Hvaða ríki í Suður-Ameríku heitir eftir miðbaugnum	Equador	Hvaða ríki í Suður Ameríku heitir eftir miðbaugnum
None	Hvaða sænski forsætisráðherra var myrtur 1986	Olof Palme	Hvaða sænski forsætisráðherra var myrtur nítján hundruð áttatíu og sex
None	Hvaða söngvari er þekktur undir nafninu Bo	Björgvin Halldórsson	Hvaða söngvari er þekktur undir nafninu Bo
None	Hvaða vökvi var mjög eftirsóttur sem munnskol hjá rómverskum hefðarkonum á fyrri öldum	Þvag	Hvaða vökvi var mjög eftirsóttur sem munnskol hjá rómverskum hefðarkonum á fyrri öldum
None	Hvaða þáttur er á dagskrá eftir Fréttum og veðri á RÚV á virkum dögum	Kastljós	Hvaða þáttur er á dagskrá eftir Fréttum og veðri á RÚV á virkum dögum
None	Hvaða þjóð færði Bandaríkjamönnum frelsisstyttuna að gjöf	Frakkar	Hvaða þjóð færði Bandaríkjamönnum frelsisstyttuna að gjöf
None	Hvað er á framhlið á íslenskum 10 króna penings	Landvættirnar	Hvað er á framhlið á íslenskum tíu króna penings
None	Hvað er á framhlið á íslenskum 10 króna penings	Skjaldarmerkið	Hvað er á framhlið á íslenskum tíu króna penings
None	Hvað er Bruce Wayne er einnig þekktur sem	Batman	Hvað er Bruce Wayne er einnig þekktur sem
None	Hvað er frægasta verk í vörslu Louvre safnsins	Móna Lísa	Hvað er frægasta verk í vörslu Louvre safnsins
None	Hvað er getraunanúmer Knattspyrnufélagsins Vals	101	Hvað er getraunanúmer Knattspyrnufélagsins Vals
None	Hvað er klukkan í Óslo að sumri þegar hún er 23:50 á Íslandi	01:50	Hvað er klukkan í Óslo að sumri þegar hún er tuttugu og þrjú fimmtíu á Íslandi
None	Hvað er Maríufiskur	Fyrsti fiskur veiðimanns	Hvað er Maríufiskur
None	Hvað er póstnúmerið á Egilsstöðum	700	Hvað er póstnúmerið á Egilsstöðum
None	Hvað er póstnúmerið í Hveragerði	810	Hvað er póstnúmerið í Hveragerði
None	Hvað eru fasteignagjöldin í Monopoly spilinu margar krónur	0	Hvað eru fasteignagjöldin í Monopoly spilinu margar krónur
None	Hvað eru íslensku jólasveinarnir margir	Þrettán	Hvað eru íslensku jólasveinarnir margir
None	Hvað eru margar golfkúlur á tunglinu	Þrjár	Hvað eru margar golfkúlur á tunglinu
None	Hvað eru margar sekúndur í einni mínútu	60	Hvað eru margar sekúndur í einni mínútu
None	Hvað eru margir dagar í júlí	31	Hvað eru margir dagar í júlí
None	Hvað eru margir dagar í júní	30	Hvað eru margir dagar í júní
None	Hvað eru margir dagar í maí	31	Hvað eru margir dagar í maí
None	Hvað eru mörg megavött í gígavatti	Þúsund	Hvað eru mörg megavött í gígavatti
None	Hvað eru Norðurlöndin mörg	5	Hvað eru Norðurlöndin mörg
None	Hvað eru Ripp, Rapp og Rupp margir	3	Hvað eru Ripp Rapp og Rupp margir
None	Hvað er það kallað þegar einu fyrirbæri er líkt við annað en án tenginga	Myndhvöt	Hvað er það kallað þegar einu fyrirbæri er líkt við annað en án tenginga
None	Hvað er það kallað þegar óhlutbundin fyrirbæri eða hlutir eru gæddir mannlegum eiginleikum	Persónugerving	Hvað er það kallað þegar óhlutbundin fyrirbæri eða hlutir eru gæddir mannlegum eiginleikum
None	Hvað gerir Óli lokbrá	Svæfir börn	Hvað gerir Óli lokbrá
None	Hvað gleypti krókódíllinn í sögunni um Pétur Pan	Vekjaraklukku	Hvað gleypti krókódíllinn í sögunni um Pétur Pan
None	Hvað heitir annar stærsti fjörður Íslands	Breiðafjörður	Hvað heitir annar stærsti fjörður Íslands
None	Hvað heitir fjörðurinn á milli Fáskrúsfjarðar og Breiðdalsvíkur	Stöðvarfjörður	Hvað heitir fjörðurinn á milli Fáskrúsfjarðar og Breiðdalsvíkur
None	Hvað heitir frægasta málverk Edvards Munchs	Ópið	Hvað heitir frægasta málverk Edvards Munchs
None	Hvað heitir gamla Landsbókasafnið við Hverfisgötu í dag	Þjóðmenningarhúsið	Hvað heitir gamla Landsbókasafnið við Hverfisgötu í dag
None	Hvað heitir hæsti tindur Íslands	Hvannadalshnjúkur	Hvað heitir hæsti tindur Íslands
None	Hvað heitir Hermione í Harry Potter myndunum eftirnafni	Granger	Hvað heitir Hermione í Harry Potter myndunum eftirnafni
None	Hvað heitir heyrnardaufi prófessorinn í Tinnabókunum	Vandráður	Hvað heitir heyrnardaufi prófessorinn í Tinnabókunum
None	Hvað heitir höfuðborg Nýa-Sjálands	Wellington	Hvað heitir höfuðborg Nýa Sjálands
None	Hvað heitir leikvangurinn hjá Aston villa	Villa Park	Hvað heitir leikvangurinn hjá Aston villa
None	Hvað heitir stærsta heita eyðimörkin á norðurhveli jarðar	Sahara	Hvað heitir stærsta heita eyðimörkin á norðurhveli jarðar
None	Hvað heitir Tiger Woods í rauninni	Eldrick Woods	Hvað heitir Tiger Woods í rauninni
None	Hvað heitir torgið fyrir framan Alþingishúsið	Austurvöllur	Hvað heitir torgið fyrir framan Alþingishúsið
None	Hvað heitir vondi galdrakarlinn í Strumpunum	Kjartan	Hvað heitir vondi galdrakarlinn í Strumpunum
None	Hvað heitir þekktasta safn Frakklands	Louvre	Hvað heitir þekktasta safn Frakklands
None	Hvað heitir þriðji og síðasti hluti Hringadróttinssögu (á ensku)	The Return of the King	Hvað heitir þriðji og síðasti hluti Hringadróttinssögu á ensku 
None	Hvað hét Bankastræti í Reykjavík áður	Bakarasbrekka	Hvað hét Bankastræti í Reykjavík áður
None	Hvað hét bróðir Grétu í hinu þekkta ævintýri	Hans	Hvað hét bróðir Grétu í hinu þekkta ævintýri
None	Hvað hét fuglinn sem reis upp úr öskunni	Phoenix	Hvað hét fuglinn sem reis upp úr öskunni
None	Hvað hét heimili Halldórs Laxness	Gljúfrasteinn	Hvað hét heimili Halldórs Laxness
None	Hvað hét hús Listasafns Íslands á undan því	Glaumbær	Hvað hét hús Listasafns Íslands á undan því
None	Hvað kalla fjallgöngumenn gaddana sem þeir festa á skóna sína	Mannbrodda	Hvað kalla fjallgöngumenn gaddana sem þeir festa á skóna sína
None	Hvað kallast eins árs brúðkaupsafmæli	Pappírsbrúðkaup	Hvað kallast eins árs brúðkaupsafmæli
None	Hvað segir sá sem setur út síðasta spilið í Ólsen	Ólsen ólsen	Hvað segir sá sem setur út síðasta spilið í Ólsen
None	Hvað þarf marga hátalara til að heyra víðóma hljóm	2	Hvað þarf marga hátalara til að heyra víðóma hljóm
None	Hvar er Amman höfuðborg	Jórdaníu	Hvar er Amman höfuðborg
None	Hvar er Ankara höfðuborg	Tyrklandi	Hvar er Ankara höfðuborg
None	Hvar er Borgarleikhúsið til húsa	Listabraut 1	Hvar er Borgarleikhúsið til húsa
None	Hvar er gröf Mozart's	Vín	Hvar er gröf Mozarts
None	Hvar er Havana höfuðborg	Kúbu	Hvar er Havana höfuðborg
None	Hvar er RÚV til húsa (2004)	Efstaleiti 1	Hvar er RÚV til húsa tvö þúsund og fjögur 
None	Hvar var fullveldi Íslands lýst yfir þann 1.des. 1918	Í Reykjavík	Hvar var fullveldi Íslands lýst yfir þann einn punkturdesember nítján hundruð og átján
None	Hvar var Grace Kelly prinsessa	Mónakó	Hvar var Grace Kelly prinsessa
None	Hvenær hertók sovéski herinn Bonn	Aldrei	Hvenær hertók sovéski herinn Bonn
None	Hver býr með Ömmu önd í sögunum um Andabæ	Gassi	Hver býr með Ömmu önd í sögunum um Andabæ
None	Hver er aðstoðarmaður Batman	Robin	Hver er aðstoðarmaður Batman
None	Hver er besti vinur Dodda í Leikfangalandi	Eyrnastór	Hver er besti vinur Dodda í Leikfangalandi
None	Hver er fyrsti þingmaður Sjálfstæðisflokks í Reykjavíkurkjördæmi suður (2008)	Geir H. Haarde	Hver er fyrsti þingmaður Sjálfstæðisflokks í Reykjavíkurkjördæmi suður tvö þúsund og átta 
None	Hver er höfuðborg Afghanistan	Kabul	Hver er höfuðborg Afghanistan
None	Hver er höfuðborg Argentínu	Buenos Aires	Hver er höfuðborg Argentínu
None	Hver er höfuðborg Arkansas	Little Rock	Hver er höfuðborg Arkansas
None	Hver er höfuðborg Filippseyja	Manila	Hver er höfuðborg Filippseyja
None	Hver er höfuðborg Hawaii	Honolulu	Hver er höfuðborg Hawaii
None	Hver er höfuðborg Indlands (á ensku)	New Delhi	Hver er höfuðborg Indlands á ensku 
None	Hver er höfuðborg Íslands	Reykjavík	Hver er höfuðborg Íslands
None	Hver er höfuðborg Kúveit	Kúveit	Hver er höfuðborg Kúveit
None	Hver er höfuðborg Kuwait	Kuwait	Hver er höfuðborg Kuwait
None	Hver er höfuðborg New Mexico	Santa Fe	Hver er höfuðborg New Mexico
None	Hver er höfuðborg Oklahoma	Oklahoma	Hver er höfuðborg Oklahoma
None	Hver er höfuðborg Rúmeníu	Búkarest	Hver er höfuðborg Rúmeníu
None	Hver er höfuðborg Sviss	Bern	Hver er höfuðborg Sviss
None	Hver er höfuðborg Tennessee	Nashville	Hver er höfuðborg Tennessee
None	Hver er höfuðborg Texas	Austin	Hver er höfuðborg Texas
None	Hver er höfuðborg Tyrklands	Ankara	Hver er höfuðborg Tyrklands
None	Hver er höfuðborg Víetnam	Hanoi	Hver er höfuðborg Víetnam
None	Hver er höfundur Harry Potter	J. K. Rowling	Hver er höfundur Harry Potter
None	Hver er höfundur sögunnar Úngfrúin góða og Húsið	Halldór Laxness	Hver er höfundur sögunnar Úngfrúin góða og Húsið
None	Hver er innsti fjörðurinn í Ísafjarðardjúpi	Ísafjörður	Hver er innsti fjörðurinn í Ísafjarðardjúpi
None	Hver er næst norðlægasta höfuðborg heims	Helsinki	Hver er næst norðlægasta höfuðborg heims
None	Hver er næststærsti jökull landsins	Langjökull	Hver er næststærsti jökull landsins
None	Hver er nyrsta höfuðborg Evrópu	Reykjavík	Hver er nyrsta höfuðborg Evrópu
None	Hver er skammstöfun Alþjóðaknattspyrnusambandsins	FIFA	Hver er skammstöfun Alþjóðaknattspyrnusambandsins
None	Hver er sögð hafa bjargað lífi kapteins John Smith	Pocahontas	Hver er sögð hafa bjargað lífi kapteins John Smith
None	Hver er söluaðili Coca-Cola á Íslandi	Vífilfell	Hver er söluaðili Coca Cola á Íslandi
None	Hver er söluhæsta bók í heimi	Biblían	Hver er söluhæsta bók í heimi
None	Hver er stærsta eyjan við Ísland	Heimaey	Hver er stærsta eyjan við Ísland
None	Hver er stærst Baleareyjanna	Mallorca	Hver er stærst Baleareyjanna
None	Hver er steinn aprílmánaðar	Demantur	Hver er steinn aprílmánaðar
None	Hver er steinn júnímánaðar	Perla	Hver er steinn júnímánaðar
None	Hver eru Eystrasaltslöndin þrjú	Eistland, Lettland og Litháen	Hver eru Eystrasaltslöndin þrjú
None	Hver gerði fyrstur norrænna manna tilraun til að nema land á Íslandi	Hrafna-Flóki	Hver gerði fyrstur norrænna manna tilraun til að nema land á Íslandi
None	Hverju af eftirtöldum löndum á Frakkland ekki landamæri að: Austurríki, Lúxemborg eða Andorra	Austurríki	Hverju af eftirtöldum löndum á Frakkland ekki landamæri að 
None	Hver málaði hvolfþakið í Sixtínsku kapellunni (The Sistine Chapel)	Michelangelo	Hver málaði hvolfþakið í Sixtínsku kapellunni The Sistine Chapel 
None	Hver málaði "La Gioconda"	Leonardo Da Vinci	Hver málaði La Gioconda 
None	Hver málaði verkið "The Dog"	Pablo Picasso	Hver málaði verkið The Dog 
None	Hvernig litt belti fá júdómenn næst á eftir brúnu	Svart	Hvernig litt belti fá júdómenn næst á eftir brúnu
None	Hver sigðraði keppnina, Ungfrú Íslands, árið 2005	Unnur Birna Vilhjálmsdóttir	Hver sigðraði keppnina Ungfrú Íslands árið tvö þúsund og fimm
None	Hvers konar dagur var haldinn í fyrsta sinn á Íslandi 23. janúar 1979	Reyklaus dagur	Hvers konar dagur var haldinn í fyrsta sinn á Íslandi tuttugasta og þriðja janúar nítján hundruð sjötíu og níu
None	Hver skrifaði bókina "Mein Kampf"	Adolf Hitler	Hver skrifaði bókina Mein Kampf 
None	Hver skrifaði "Dagbók Önnu Frank"	Anna Frank	Hver skrifaði Dagbók Önnu Frank 
None	Hver skrifaði "fimm" barnabækurnar	Enid Blyton	Hver skrifaði fimm barnabækurnar
None	Hver skrifaði Heimskringlu	Snorri Sturluson	Hver skrifaði Heimskringlu
None	Hver skrifaði "Oliver Twist"	Charles Dickens	Hver skrifaði Oliver Twist 
None	Hver skrifaði "Rómeó og Júlíu"	William Shakespeare	Hver skrifaði Rómeó og Júlíu 
None	Hver son var Grettir sterki	Ásmundarson	Hver son var Grettir sterki
None	Hversu margar Kleópötrur stjórnuðu Egyptalandi	Sjö	Hversu margar Kleópötrur stjórnuðu Egyptalandi
None	Hversu margar mínútur er hver lota í hnefaleikum atvinnumanna	Þrjár	Hversu margar mínútur er hver lota í hnefaleikum atvinnumanna
None	Hversu margar mínútur er hvíldin á milli lota í hnefaleikum atvinnumanna	Ein	Hversu margar mínútur er hvíldin á milli lota í hnefaleikum atvinnumanna
None	Hversu margar sekúndur flugu Wright bræðurnir í sínu fyrsta flugi árið 1903	12	Hversu margar sekúndur flugu Wright bræðurnir í sínu fyrsta flugi árið nítján hundruð og þrjú
None	Hversu margar tröppur liggja upp að akureyrarkirkju	112	Hversu margar tröppur liggja upp að akureyrarkirkju
None	Hversu margir leikmenn eru í hverju liði í amerískum fótbolta	Ellefu	Hversu margir leikmenn eru í hverju liði í amerískum fótbolta
None	Hversu oft leyfist hverjum keppanda í tugþraut að þjófstarta	Tvisvar	Hversu oft leyfist hverjum keppanda í tugþraut að þjófstarta
None	Hvert af eftirfarandi örnefnum er ekki til á Íslandi: Hóp, Ok eða Móg	Móg	Hvert af eftirfarandi örnefnum er ekki til á Íslandi 
None	Hvert er algengasta drengjanafnið á Englandi	Jack	Hvert er algengasta drengjanafnið á Englandi
None	Hvert er fyrra nafn Picasso	Pablo	Hvert er fyrra nafn Picasso
None	Hvert er hæsta fjall Alpanna	Mont Blanc	Hvert er hæsta fjall Alpanna
None	Hvert er landsnúmer Bandaríkjanna þegar hringt er þangað	1	Hvert er landsnúmer Bandaríkjanna þegar hringt er þangað
None	Hvert er nyrsta ríki Bandaríkjanna	Alaska	Hvert er nyrsta ríki Bandaríkjanna
None	Hvert er póstnúmer Mosfellsbæjar	270	Hvert er póstnúmer Mosfellsbæjar
None	Hvert er póstnúmer Seltjarnarness	170	Hvert er póstnúmer Seltjarnarness
None	Hvert er syðsta ríki Bandaríkjanna	Hawaii	Hvert er syðsta ríki Bandaríkjanna
None	Hvert er þjóðartákn Bandaríkjanna	Skallaörninn	Hvert er þjóðartákn Bandaríkjanna
None	Hvert var fornafn Nóbels þess er verðlaunin eru kennd við	Alfred	Hvert var fornafn Nóbels þess er verðlaunin eru kennd við
None	Hveru margir mánuðir hafa 28 daga	12	Hveru margir mánuðir hafa tuttugu og átta daga
None	Hver úr rússnesku keisarafjölskyldunni er sögð hafa lifað aftöku hennar af	Anastasia	Hver úr rússnesku keisarafjölskyldunni er sögð hafa lifað aftöku hennar af
None	Hver var aldursforseti Alþingis (2009)	Jóhanna Sigurðardóttir	Hver var aldursforseti Alþingis tvö þúsund og níu 
None	Hver var borgarstjóri í Reykjavík árið 1994-2003	Ingibjörg Sólrún Gísladóttir	Hver var borgarstjóri í Reykjavík árið nítján hundruð níutíu og fjögur til tvö þúsund og þrjú
None	Hver var borgarstjóri í Reykjavík árið 1994	Árni Sigfússon	Hver var borgarstjóri í Reykjavík árið nítján hundruð níutíu og fjögur
None	Hver var forsætisráðherra Íslands árið 1988-1991	Steingrímur Hermannsson	Hver var forsætisráðherra Íslands árið nítján hundruð áttatíu og átta til nítján hundruð níutíu og eitt
None	Hver var forseti bandaríkja Norður-Ameríku árin 1961-1963	John F. Kennedy	Hver var forseti bandaríkja Norður Ameríku árin nítján hundruð sextíu og eitt til nítján hundruð sextíu og þrjú
None	Hver var forseti bandaríkja Norður-Ameríku árin 1981-1989	Ronald Reagan	Hver var forseti bandaríkja Norður Ameríku árin nítján hundruð áttatíu og eitt til nítján hundruð áttatíu og níu
None	Hver var forseti Íslands árið 1968-1980	Kristján Eldjárn	Hver var forseti Íslands árið nítján hundruð sextíu og átta til nítján hundruð og áttatíu
None	Hver var fyrsti íslenski atvinnumaðurinn í knattspyrnu	Albert Guðmundsson	Hver var fyrsti íslenski atvinnumaðurinn í knattspyrnu
None	Hver var kallaður "der Führer"	Adolf Hitler	Hver var kallaður der Führer 
None	Hver var kölluð "hjartadrottningin"	Díana prinsessa	Hver var kölluð hjartadrottningin 
None	Hver var skipreka á eyðiey í tuttugu og átta ár, tvo mánuði og nítján daga	Róbinson Krúsó	Hver var skipreka á eyðiey í tuttugu og átta ár tvo mánuði og nítján daga
None	Hvort er "My Fair Lady" söngleikur eða leikrit	Söngleikur	Hvort er My Fair Lady söngleikur eða leikrit
None	Hvort eru áramót á undan í Ástralíu eða á Íslandi	Ástralíu	Hvort eru áramót á undan í Ástralíu eða á Íslandi
None	Í gegnum hvaða stórborg rennur áin Signa	París	Í gegnum hvaða stórborg rennur áin Signa
None	Í gegnum hvern af eftirtöldum stöðum liggur hringvegurinn ekki: Höfn, Sauðárkrók eða Blönduós	Sauðárkrók	Í gegnum hvern af eftirtöldum stöðum liggur hringvegurinn ekki 
None	Í gegnum hvern af eftirtöldum stöðum liggur hringvegurinn: Höfn, Akranes eða Ísafjörð	Höfn	Í gegnum hvern af eftirtöldum stöðum liggur hringvegurinn 
None	Í hvaða á er Gullfoss	Hvítá	Í hvaða á er Gullfoss
None	Í hvaða evrópsku borg er Louvresafnið að finna	París	Í hvaða evrópsku borg er Louvresafnið að finna
None	Í hvaða firði er Fagriskógur sá er Davíð Stefánsson er kenndur við	Eyjafirði	Í hvaða firði er Fagriskógur sá er Davíð Stefánsson er kenndur við
None	Í hvaða fylki Bandaríkjanna er Baltimore	Maryland	Í hvaða fylki Bandaríkjanna er Baltimore
None	Í hvaða fylki Bandaríkjanna er borgin Las Vegas	Nevada	Í hvaða fylki Bandaríkjanna er borgin Las Vegas
None	Í hvaða fylki er Olympia höfuðborg	Washington	Í hvaða fylki er Olympia höfuðborg
None	Í hvaða hafi var blómaskeið sjóræningja um miðbik 17. aldar	Karabíahafi	Í hvaða hafi var blómaskeið sjóræningja um miðbik sautjándu aldar
None	Í hvaða hálofta íþróttagrein var Bretinn John Pendry heimsmeistari	Svifdrekaflugi	Í hvaða hálofta íþróttagrein var Bretinn John Pendry heimsmeistari
None	Í hvaða heimsálfu er borgin Washington D.C	Norður Ameríku	Í hvaða heimsálfu er borgin Washington D C
None	Í hvaða heimsálfu er smáríkið Búrundi	Afríku	Í hvaða heimsálfu er smáríkið Búrundi
None	Í hvaða kjarnorkuveri lak einn af kjarnaofnunum 26. april árið 1986	Chernobyl	Í hvaða kjarnorkuveri lak einn af kjarnaofnunum tuttugasta og sjötta april árið nítján hundruð áttatíu og sex
None	Í hvaða landi er Boris Becker fæddur	Þýskalandi	Í hvaða landi er Boris Becker fæddur
None	Í hvaða landi er Panama-skurðurinn	Panama	Í hvaða landi er Panama skurðurinn
None	Í hvaða landi er tennisleikkonan Steffi Graf fædd	Þýskalandi	Í hvaða landi er tennisleikkonan Steffi Graf fædd
None	Í hvaða landi er vestasti tangi Evrópu	Íslandi	Í hvaða landi er vestasti tangi Evrópu
None	Í hvaða landi er Yucatanskaginn	Mexíkó	Í hvaða landi er Yucatanskaginn
None	Í hvaða landi var Kekkonen lengi forseti	Finnlandi	Í hvaða landi var Kekkonen lengi forseti
None	Í hvaða myndasögu er "Mr. Fantastic"	Fantastic Four	Í hvaða myndasögu er Mr 
None	Í hvaða skógi er Atlavík	Hallormsstaðarskógi	Í hvaða skógi er Atlavík
None	Í hvaða sveitarfélagi er Sundfélagið Ægir	Reykjavík	Í hvaða sveitarfélagi er Sundfélagið Ægir
None	Í hvaða sýslu er Keflavík	Gullbringusýslu	Í hvaða sýslu er Keflavík
None	Klárðu þessa setningu sem Benjamin Franklin sagði: Þrír geta þagað yfir leyndarmáli, ef tveir þeirra eru ...	Dánir	Klárðu þessa setningu sem Benjamin Franklin sagði 
None	Nafn hvaða dýrs hefur fæsta stafi: Tígrisdýr, Nautgripur, Ánamaðkur, Skógarbjörn eða Hreindýr	Hreindýr	Nafn hvaða dýrs hefur fæsta stafi 
None	Senn verandi úti og inni, uppi og niðri og þar í miðju. er dæmi um...	Andstæður	 Senn verandi úti og inni uppi og niðri og þar í miðju er dæmi um 
None	Um hvaða dýralækni skrifaði Hugh Lofting	Dagfinn dýralækni	Um hvaða dýralækni skrifaði Hugh Lofting
None	Undir hvaða nafni er Alicia Christian Foster þekktari	Jodie Foster	Undir hvaða nafni er Alicia Christian Foster þekktari
